TOWN,MONTH,NOKR
Rīga,01,53
Rīga,02,12
Rīga,03,30
Rīga,04,23
Rīga,05,91
Rīga,06,35
Rīga,07,47
Rīga,08,88
Rīga,09,50
Rīga,10,68
Rīga,11,36
Rīga,12,31
Daugavpils,01,38
Daugavpils,02,9
Daugavpils,03,15
Daugavpils,04,30
Daugavpils,05,78
Daugavpils,06,47
Daugavpils,07,22
Daugavpils,08,145
Daugavpils,09,40
Daugavpils,10,78
Daugavpils,11,32
Daugavpils,12,18
Liepāja,01,67
Liepāja,02,11
Liepāja,03,48
Liepāja,04,27
Liepāja,05,53
Liepāja,06,20
Liepāja,07,44
Liepāja,08,143
Liepāja,09,40
Liepāja,10,74
Liepāja,11,48
Liepāja,12,41
Alūksne,01,48
Alūksne,02,22
Alūksne,03,53
Alūksne,04,38
Alūksne,05,113
Alūksne,06,46
Alūksne,07,22
Alūksne,08,151
Alūksne,09,40
Alūksne,10,88
Alūksne,11,48
Alūksne,12,41
Cēsis,01,31
Cēsis,02,15
Cēsis,03,41
Cēsis,04,39
Cēsis,05,120
Cēsis,06,62
Cēsis,07,44
Cēsis,08,94
Cēsis,09,50
Cēsis,10,102
Cēsis,11,69
Cēsis,12,31
Dobele,01,36
Dobele,02,3
Dobele,03,18
Dobele,04,19
Dobele,05,66
Dobele,06,32
Dobele,07,36
Dobele,08,122
Dobele,09,37
Dobele,10,56
Dobele,11,24
Dobele,12,24
Jēkabpils,01,25
Jēkabpils,02,8
Jēkabpils,03,25
Jēkabpils,04,21
Jēkabpils,05,86
Jēkabpils,06,72
Jēkabpils,07,44
Jēkabpils,08,126
Jēkabpils,09,32
Jēkabpils,10,42
Jēkabpils,11,40
Jēkabpils,12,20
Kolka,01,76
Kolka,02,6
Kolka,03,31
Kolka,04,40
Kolka,05,75
Kolka,06,56
Kolka,07,46
Kolka,08,166
Kolka,09,42
Kolka,10,68
Kolka,11,75
Kolka,12,30
Ainaži,01,35
Ainaži,02,11
Ainaži,03,51
Ainaži,04,20
Ainaži,05,83
Ainaži,06,23
Ainaži,07,126
Ainaži,08,117
Ainaži,09,34
Ainaži,10,89
Ainaži,11,87
Ainaži,12,43
Stende,01,27
Stende,02,7
Stende,03,24
Stende,04,26
Stende,05,66
Stende,06,17
Stende,07,112
Stende,08,139
Stende,09,40
Stende,10,42
Stende,11,59
Stende,12,20
